text,target
STARBUCKS           800-782-7282        WA,Food
TARGET        024877WESTERVILLE         OH,Store
TEXAS ROADHOUSE     COLUMBUS            OH,Food
THE SUNRISE AT BOARDBOARDMAN            OR,Food
UBER,RideShare
WSDOT GOOD TO GO    OLYMPIA             WA,Toll
AMAZON MARKETPLACE NAMZN.COM/BILL       WA,Food
AMAZON MARKEPLACE NA PA,Store
AMAZON.COM          AMZN.COM/BILL       WA,Store
ARCO#07032ARCO #0703POULSBO             WA,Gas
BP#3742830CINCINNATIWALTON              KY,Hotels
BUBBA'S 33 #2694 269PENSACOLA           FL,Food
CHILIS SAWMILL 0000 COLUMBUS            OH,Food
CHIPOTLE 0947 0000  HILLIARD            OH,Food
CLUBCORP SERVICE CARDALLAS              TX,Car Rental
DAIRY QUEEN #12415 0MILTON              KY,Food
DD *DOORDASH BUFFALOSAN FRANCISCO       CA,Food
DD *DOORDASH CHOPTCRSAN FRANCISCO       CA,Food
DD *DOORDASH DASHMARSAN FRANCISCO       CA,Food
DD *DOORDASH PHOASIASAN FRANCISCO       CA,Food
FIRST WATCH - 0062 0HILLIARD            OH,Food
HIRO RAMEN 0001     COLUMBUS            OH,Food
LA QUINTA KENNEWICK KENNEWICK           WA,Hotels
MCDONALD'S          KENNEWICK           WA,Food
PANDA EXPRESS       COLUMBUS            OH,Food
PANDA EXPRESS #586 5MESA                AZ,Food
RED LOBSTER 0640 640KENNEWICK           WA,Food
ROYAL MART 104      KENNEWICK           WA,Store
SHELL SERVICE STATIOHERMISTON           OR,Gas
TEXAS ROADHOUSE     KENNEWICK           WA,Food
WHITE CASTLE        HILLIARD            OH,Food
88 KING BUFFET SUSHIMADISON             IN,Food
CHEVRON 0091371/CHEVHERMISTON           OR,Gas
Courtyard By MarriotMesa                AZ,Hotels
Courtyard by MarriotPasco               WA,Hotels
DENNY'S             RICHLAND            WA,Food
FOODS USA           Hermiston           OR,Food
GOLDEN CORRAL 722 00CHILLICOTHE         OH,Food
LOVE HANDLE         INDIANAPOLIS        IN,Food
LYFT                855-280-0278        CA,RideShare
POPEYES 14258 0000  HILLIARD            OH,Food
SPEEDWAY 43775 00004INDIANAPOLIS        IN,Gas
THE GOAT HILLIARD   HILLIARD            OH,Food
TST* CHATHAM TAP - MINDIANAPOLIS        IN,Food
TST* LAS ISLITAS LLCPASCO               WA,Food
UBER EATS           help.uber.com       CA,RideShare
ULTIMATE SHINE CHILLCHILLICOTHE         OH,Food
UNION 76 09454646   SCHAWANA            WA,Gas
WENDY'S             CHILLICOTHE         OH,Food
WENDYS #1581 0000015HILLIARD            OH,Food
AMERICAN AIRLINES 36COLUMBUS            OH,Airlines
BP#1217500BEECH RD DNEW ALBANY          OH,Gas
BUDGET RENT A CAR XXCOLUMBUS            OH,Car Rental
CHEVRON 0209749/CHEVPHOENIX             AZ,Food
DD *DOORDASH KATZINGSAN FRANCISCO       CA,Food
DD *DOORDASH PICCOLASAN FRANCISCO       CA,Food
DONATOS PIZZA       COLUMBUS            OH,Food
EL PALOMAR MEXICAN RCIRCLEVILLE         OH,Food
EL SAZON DE MI TIA LHilliard            OH,Food
FARMER'S FRIDGE     CHICAGO             IL,Food
HYATT HOUSE ATL DWNTATLANTA             GA,Hotels
MARATHON PETRO211417HILLIARD            OH,Gas
MCDONALD'S          MARTINSVILLE        IN,Food
NATIONAL CAR R449866COLUMBUS            OH,Car Rental
OLIVE GARDEN ITALIANKENNEWICK           WA,Food
RIVER LODGE AND GRILBOARDMAN            OR,Hotels
SHEETZ 0709   007096HILLIARD            OH,Food
STARUBKCS A CM      COLUMBUS            OH,Food
TACO BELL 041403 041NEW ALBANY          OH,Food
TAQUERIA MI PUEBLITOWALLA WALLA         WA,Food
TASTE OF THE CARIBBECOLUMBUS            OH,Food
WAL-MART SUPERCENTERHERMISTON           OR,Store
WILD GINGER ASIAN FUHILLIARD            OH,Food
WSFERRIES-PT 8888087SEATTLE             WA,Food
AMERICAN AIRLINES   800-433-7300        TX,Airlines
Amazon Prime        Amazon.com          WA,Store
BOB EVANS RESTAURANTHILLIARD            OH,Food
BT*DD *DOORDASH SWENSAN FRANCISCO       CA,Food
BURNT FIELD         Boardman            OR,Food
CHICK-FIL-A #04971 0WESTERVILLE         OH,Food
DD *DOORDASH GUSTO-HSAN FRANCISCO       CA,Food
DD *DOORDASH THEWINESAN FRANCISCO       CA,Food
DD *DOORDASH WHITECASAN FRANCISCO       CA,Food
DD *DOORDASHDASHPASSSAN FRANCISCO       CA,Food
DONATOS PIZZERIA #42COLUMBUS            OH,Food
FIVE GUYS 4119 QSR 0DUBLIN              OH,Food
JETS PIZZA - OH-006 HILLIARD            OH,Food
KROGER              HILLIARD            OH,Food
MARATHON PETRO176610COLUMBUS            OH,Gas
MARATHON PETRO240929HILLIARD            OH,Gas
PANDA EXPRESS       KENNEWICK           WA,Food
RAISING CANES 0545  MESA                AZ,Food
RAISING CANES 0745  HILLIARD            OH,Food
RAISINGCANES0745 MOB972-769-3100        OH,Food
SHEETZ 2709   027094HILLIARD            OH,Food
SPEEDWAY 45425 00004HILLIARD            OH,Gas
SUBWAY 71050        HILLIARD            OH,Food
TEXAS ROADHOUSE #237KENNEWICK           WA,Food
TST* EL BURRITO BOWLNEW ALBANY          OH,Food
TST* HIBACHI RUN 001NEW ALBANY          OH,Food
TST* KIKU SUSHI - BUNEW ALBANY          OH,Food
ATLANTA FISH MARKET ATLANTA             GA,Food
BIRRIERIA EL SAZON 6KENNEWICK           WA,Food
CHICK-FIL-A         HILLIARD            OH,Food
CHICK-FIL-A #01694 0HIGLEY              AZ,Food
CHICK-FIL-A #04479 0DUBLIN              OH,Food
CHILIS HAMILTON QUARWESTERVILLE         OH,Food
CIRCLE K # 09663/CIRUMATILLA            OR,Store
Courtyard By MarriotAtlanta             GA,Hotels
DAIRY QUEEN #16868 0HILLIARD            OH,Food
DD *DOORDASH TACOBELSAN FRANCISCO       CA,Food
DD *DOORDASH TASTEOFSAN FRANCISCO       CA,Food
DD *DOORDASH THERAILSAN FRANCISCO       CA,Food
FLYERS PIZZA - HAYDEHILLIARD            OH,Food
GAS VALET INC. 0000 ATLANTA             GA,Gas
GRUBHUB*CRUNCHWERKS NEW YORK            NY,Food
HOTEL RES-SLEEP INN 833-378-2490        DE,Hotels
MCDONALD'S F40797 00HILLIARD            OH,Food
PHO THANH LLC 0000  HILLIARD            OH,Food
RIVER LODGE & CABINSBOARDMAN            OR,Hotels
SHIKI HIBACHI SUSHI HERMISTON           OR,Food
STARLINER DINER 00K3HILLIARD            OH,Food
TACO BELL 033034 033HILLIARD            OH,Food
TOMI SUSHI & RAMEN  KENNEWICK           WA,Food
TST* PINE COAST CAFEHILLIARD            OH,Food
TST* PITABILITIES - HILLIARD            OH,Food
BONEFISH            SAMMAMISH           WA,Food
BP#38519201190 N BRICHILLICOTHE         OH,Food
BP#8982738BP VININGSATLANTA             GA,Gas
BUDGET RENT A CAR   COLUMBUS            OH,Car Rental
Boiling Seafood     COLUMBUS            OH,Food
CBBQ DUBLIN GRN CP 0PLAIN CITY          OH,Food
CHARLEYS PHILLY STEADUBLIN              OH,Food
CHIPOTLE ONLINE 0000NEWPORT BEACH       CA,Food
CIRCLE K # 05707/CIRCOLUMBUS            OH,Store
DENNY'S             KENNEWICK           WA,Food
EMBASSY SUITES ATLANATLANTA             GA,Hotels
FRUTERIA LA REYNA LLBoardman            OR,Food
GOLDEN CORRAL 0729 0WHITEHALL           OH,Food
MCDONALD'S F33395 00MESA                AZ,Food
NATIONAL CAR R018701COLLEGE PARK        GA,Car Rental
PAINT STREET VALERO CHILLICOTHE         OH,Food
PY *HABANEROS ON MAIHILLIARD            OH,Food
TRACTOR SUPPLY CO   COLUMBUS            OH,Store
TST* DARUMA ASIAN FUHILLIARD            OH,Food
TST* ROOSTERS - HILLHILLIARD            OH,Food
TST* THE CHEESECAKE HILLIARD            OH,Food
TST* THE MEATBALL MAHILLIARD            OH,Food
TWIN PEAKS - POLARISCOLUMBUS            OH,Food
BT*DD *DOORDASH GOODSAN FRANCISCO       CA,Food
BT*DD *DOORDASH SUSHSAN FRANCISCO       CA,Food
C & D DRIVE-IN AND BBOARDMAN            OR,Food
CASA JALISCO LLC 000HILLIARD            OH,Food
CHEVRON 0098192/CHEVBOARDMAN            OR,Gas
CIRCLE K            PASCO               WA,Store
COTTAGE INN PIZZA - HILLIARD            OH,Hotels
DD *DOORDASH DAIRYQUSAN FRANCISCO       CA,Food
DD *DOORDASH MITRADISAN FRANCISCO       CA,Food
DELTA AIR LINES     ATLANTA,Airlines
JACK IN THE BOX     HERMISTON           OR,Food
JERSEY MIKES 2103 02NEW ALBANY          OH,Food
LONGHORN STEAK 01250DUBLIN              OH,Food
SCRAMBLERS 0805     HILLIARD            OH,Food
SGR RESTAURANT LLC/WCOLUMBUS            OH,Food
SUBWAY OF BOARDMAN  BOARDMAN            OR,Food
TST* HASH KITCHEN - GILBERT             AZ,Food
TST* PANDA EXPRESS -HOUSTON             TX,Food
WAL-MART SUPERCENTERDUBLIN              OH,Store
WALGREENS           NEW ALBANY          OH,Store
BJS RESTAURANTS 516 DUBLIN              OH,Food
BT*DD *DOORDASH CHIPSAN FRANCISCO       CA,Food
BT*DD *DOORDASH PINESAN FRANCISCO       CA,Food
BT*DD *DOORDASH TARGSAN FRANCISCO       CA,Food
CNP Back Bay Bistro Norfolk             VA,Food
DAIRY QUEEN #45552 0COLDWATER           MI,Food
DD *DOORDASH ALDI   SAN FRANCISCO       CA,Food
DD *DOORDASH CRCARIBSAN FRANCISCO       CA,Food
DD *DOORDASH THECHEESAN FRANCISCO       CA,Food
LONGHORN STEAK 01256HOOVER              AL,Food
LOS PINOS 000000001 PASCO               WA,Food
PANDA EXPRESS #3264 HERMISTON           OR,Food
PF CHANG'S          DUBLIN              OH,Food
PILOT_00304 00304   NEW HAVEN           IN,Gas
SHELL SERVICE STATIONORTH BEND          WA,Gas
WAL-MART SUPERCENTERPASCO               WA,Store
WINGSTOP 1814 1814  UPPER ARLINGT       OH,Food
WSDOT GOODTOGO TNB  GIG HARBOR          WA,Toll
BAR TACO VININGS    470-7978226         GA,Food
BT*DD *DOORDASH PANESAN FRANCISCO       CA,Food
BT*DD *DOORDASH WINGSAN FRANCISCO       CA,Food
CRAZY CRAB POT      KENNEWICK           WA,Food
DD *DOORDASH POPEYESSAN FRANCISCO       CA,Food
DOMINO'S 7267 000007HERMISTON           OR,Food
KROGER FUEL         GALLOWAY            OH,Food
PANERA BREAD        HILLIARD            OH,Food
SHEETZ 0825   008250COLUMBUS            OH,Food
TACO BELL 733034 733HILLIARD            OH,Food
TST* BAUMHOWER'S VICVESTAVIA HILL       AL,Food
TST* PEOPLES BRUNCH PHOENIX             AZ,Food
UBER EATS           HTTPS://HELP.UBER.COCA,RideShare
UNION 76 09478348   LEAVENWORTH         WA,Gas
ANDY'S PIZZA SHAW / Washington          DC,Food
American Airlines   FORT WORTH          TX,Airlines
BrewDog Bar Con B CMCOLUMBUS            OH,Food
Burger King PS FC CMCOLUMBUS            OH,Food
CHEVRON 0384231/CHEVATLANTA             GA,Gas
CHEVRON 0388235/CHEVPHOENIX             AZ,Food
DELTA AIR LINES,Airlines
EXXONMOBIL 4808     ATLANTA             GA,Gas
HOLIDAY INN EXP & SUGILBERT             AZ,Hotels
HOLIDAY INN EXPRESS HERMISTON           OR,Hotels
KFC J625215 0000    COLUMBUS            OH,Food
MACARIOS MEXICAN RESBOARDMAN            OR,Car Rental
MAIN ST SINCLAIR 385BOARDMAN            OR,Gas
PY *HISSHO SUSHI 000PORTLAND            OR,Food
QT                  ATLANTA             GA,Gas
QUALITY INN OR23    UMATILLA            OR,Hotels
RED ROBIN           HILLIARD            OH,Food
SHEETZ 2723   027235COLUMBUS            OH,Food
SHELL SERVICE STATIOCASCADE LOCKS       OR,Gas
SHELL SERVICE STATIOPORTLAND            OR,Gas
SPEEDWAY 45265 00004COLUMBUS            OH,Gas
STARBUCKS STORE 1178ATLANTA             GA,Food
UNITED AIRLINES     HOUSTON             TX,Airlines
UNITED DAIRY FARMERSHILLIARD            OH,Food
WENDY'S             COLUMBUS            OH,Food
WENDYS  6421 0000   GETTYSBURG          PA,Food
WOLFGANG UNIT-CON B COLUMBUS            OH,Food
6951454 - CAPITAL HISEATTLE             WA,Food
AplPay STARBUCKS    DULLES              VA,Food
BAWARCHI BIRYANIS ATATLANTA             GA,Food
BT*DD *DOORDASH POPESAN FRANCISCO       CA,Food
BT*DD *DOORDASH TASTSAN FRANCISCO       CA,Food
CHEVRON 0308263/CHEVPHOENIX             AZ,Food
CHICK-FIL-A #01998 0ATLANTA             GA,Food
CHIPOTLE 4475 0447  NEW ALBANY          OH,Food
DD *DOORDASH BJSRESTSAN FRANCISCO       CA,Food
DD *DOORDASH CLEANEASAN FRANCISCO       CA,Food
FLYERS PIZZA - HILLIHILLIARD            OH,Food
GRUBHUB*PIEROGIMOUNTNEW YORK            NY,Food
IN-N-OUT MESA (POWERMESA                AZ,Food
JAVA JUNKIES        UMATILLA            OR,Food
JERSEY MIKES 2023 02HILLIARD            OH,Food
KROGER              JOHNSTOWN           OH,Food
MCDONALD'S          HILLIARD            OH,Food
MR MANDO RESTUARANT COLUMBUS            OH,Food
ORIENTAL EXPRESS. 00HILLIARD            OH,Store
SHELL SERVICE STATIOGILBERT             AZ,Gas
SHELL SERVICE STATIOIRRIGON             OR,Gas
STARBUCKS STORE 0293SEATTLE             WA,Food
SUBWAY SANDWICHES   HERMISTON           OR,Food
Sunoco Gas          215-977-3000        TX,Gas
THE OLIVE GARDEN USACOLUMBUS            OH,Food
TST* BREAKFAST CLUB SCOTTSDALE          AZ,Food
TWIN PEAKS TEMPE 00ETEMPE               AZ,Food
TWIN SMOKERS 6500000ATLANTA             GA,Food
UNION 76 09539842   POULSBO             WA,Gas
UNITED DAIRY FARMERSCOLUMBUS            OH,Food
WHATABURGER 1317    MESA                AZ,Food
ARBYS 6790 6790     HILLIARD            OH,Food
AVID HOTEL COLUMBUS DELAWARE            OH,Hotels
BT*DD *DOORDASH ARBYSAN FRANCISCO       CA,Food
BT*DD *DOORDASH CITYSAN FRANCISCO       CA,Food
BT*DD *DOORDASH THEJSAN FRANCISCO       CA,Food
BURGER KING         HERMISTON           OR,Food
BURGER KING #11363 QPROSSER             WA,Food
CHICK-FIL-A #03551 0ATLANTA             GA,Food
CHIPOTLE 0555 0000  HILLIARD            OH,Food
CITY BARBEQUE ARLINGCOLUMBUS            OH,Food
DD *DOORDASH CREOLE2SAN FRANCISCO       CA,Food
EL BUEN SABOR LLC   BOARDMAN            OR,Food
HALWANI PI* HALWANI HILLIARD            OH,Food
LEGENDS@ARIZONA FINAPHOENIX             AZ,Food
MIYUKY TACOS        HERMISTON           OR,Food
POPEYES 13956 0000  NEW ALBANY          OH,Food
PUBLIX              ATLANTA             GA,Store
SHAKE SHACK         Gilbert             AZ,Food
SHEETZ 0849   008490COLUMBUS            OH,Food
SHEETZ 2707   027078NEW ALBANY          OH,Food
SHELLYS NIETOS      Hermiston           OR,Gas
SPO*STADIUM 00000038PHOENIX             AZ,Food
TACO BELL 037648 037GILBERT             AZ,Food
TAQUERIA LOS 3 RAMIRBoardman            OR,Food
THE YARD MILKSHAKE BAtlanta             GA,Food
TST* ROOSTERS - NEW NEW ALBANY          OH,Food
WHITE CASTLE        CIRCLEVILLE         OH,Food
BT*DD *DOORDASH BUFFSAN FRANCISCO       CA,Food
BT*DD *DOORDASH CILASAN FRANCISCO       CA,Food
DD *DOORDASH CULVERSSAN FRANCISCO       CA,Food
JALISCO HERENCIA 000HILLIARD            OH,Food
JFK MELT SHOP       Queens              NY,Food
MCDONALD'S F34956 00NEW ALBANY          OH,Food
PANDA EXPRESS       SMYRNA              GA,Food
RED LOBSTER 6351 635DUBLIN              OH,Food
THE HOME DEPOT      KENNEWICK           WA,Store
TST* ANTHONY'S AT CORICHLAND            WA,Food
TST* BEEF 'O' BRADY'HILLIARD            OH,Food
VILLAGE RESTAURANT 0BOARDMAN            OR,Food
WAL-MART SUPERCENTERCOLUMBUS            OH,Store
AANGAN INDIA BISTRO DUBLIN              OH,Food
CHIPOTLE 0698 0000  MESA                AZ,Food
CRISPIE CREME OF CHICHILLICOTHE         OH,Food
DD *DOORDASH DAHABRESAN FRANCISCO       CA,Food
DD *DOORDASH ROMEOSPSAN FRANCISCO       CA,Food
FAMILY DOLLAR 000012BOARDMAN            OR,Store
HUDSON NEWS         GUARULHOS,Store
KROGER              ATLANTA             GA,Food
LITTLE CAESARS 204 0KENNEWICK           WA,Food
